match_date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,goal_diff,total_goals,home_result,is_competitive,home_points,away_points,match_id,source,source_match_id,source_competition_id,source_competition_name,source_generated_at_utc
1872-11-30,Scotland,England,0,0,Friendly,Glasgow,Scotland,False,0.0,0.0,draw,False,1.0,1.0,1872-11-30::Scotland::England,historical_csv,,,,
1873-03-08,England,Scotland,4,2,Friendly,London,England,False,2.0,6.0,home,False,3.0,0.0,1873-03-08::England::Scotland,historical_csv,,,,
1874-03-07,Scotland,England,2,1,Friendly,Glasgow,Scotland,False,1.0,3.0,home,False,3.0,0.0,1874-03-07::Scotland::England,historical_csv,,,,
1875-03-06,England,Scotland,2,2,Friendly,London,England,False,0.0,4.0,draw,False,1.0,1.0,1875-03-06::England::Scotland,historical_csv,,,,
1876-03-04,Scotland,England,3,0,Friendly,Glasgow,Scotland,False,3.0,3.0,home,False,3.0,0.0,1876-03-04::Scotland::England,historical_csv,,,,
1876-03-25,Scotland,Wales,4,0,Friendly,Glasgow,Scotland,False,4.0,4.0,home,False,3.0,0.0,1876-03-25::Scotland::Wales,historical_csv,,,,
1877-03-03,England,Scotland,1,3,Friendly,London,England,False,-2.0,4.0,away,False,0.0,3.0,1877-03-03::England::Scotland,historical_csv,,,,
1877-03-05,Wales,Scotland,0,2,Friendly,Wrexham,Wales,False,-2.0,2.0,away,False,0.0,3.0,1877-03-05::Wales::Scotland,historical_csv,,,,
1878-03-02,Scotland,England,7,2,Friendly,Glasgow,Scotland,False,5.0,9.0,home,False,3.0,0.0,1878-03-02::Scotland::England,historical_csv,,,,
1878-03-23,Scotland,Wales,9,0,Friendly,Glasgow,Scotland,False,9.0,9.0,home,False,3.0,0.0,1878-03-23::Scotland::Wales,historical_csv,,,,
1879-01-18,England,Wales,2,1,Friendly,London,England,False,1.0,3.0,home,False,3.0,0.0,1879-01-18::England::Wales,historical_csv,,,,
1879-04-05,England,Scotland,5,4,Friendly,London,England,False,1.0,9.0,home,False,3.0,0.0,1879-04-05::England::Scotland,historical_csv,,,,
1879-04-07,Wales,Scotland,0,3,Friendly,Wrexham,Wales,False,-3.0,3.0,away,False,0.0,3.0,1879-04-07::Wales::Scotland,historical_csv,,,,
1880-03-13,Scotland,England,5,4,Friendly,Glasgow,Scotland,False,1.0,9.0,home,False,3.0,0.0,1880-03-13::Scotland::England,historical_csv,,,,
1880-03-15,Wales,England,2,3,Friendly,Wrexham,Wales,False,-1.0,5.0,away,False,0.0,3.0,1880-03-15::Wales::England,historical_csv,,,,
1880-03-27,Scotland,Wales,5,1,Friendly,Glasgow,Scotland,False,4.0,6.0,home,False,3.0,0.0,1880-03-27::Scotland::Wales,historical_csv,,,,
1881-02-26,England,Wales,0,1,Friendly,Blackburn,England,False,-1.0,1.0,away,False,0.0,3.0,1881-02-26::England::Wales,historical_csv,,,,
1881-03-12,England,Scotland,1,6,Friendly,London,England,False,-5.0,7.0,away,False,0.0,3.0,1881-03-12::England::Scotland,historical_csv,,,,
1881-03-14,Wales,Scotland,1,5,Friendly,Wrexham,Wales,False,-4.0,6.0,away,False,0.0,3.0,1881-03-14::Wales::Scotland,historical_csv,,,,
1882-02-18,Northern Ireland,England,0,13,Friendly,Belfast,Ireland,False,-13.0,13.0,away,False,0.0,3.0,1882-02-18::Northern Ireland::England,historical_csv,,,,
1882-02-25,Wales,Northern Ireland,7,1,Friendly,Wrexham,Wales,False,6.0,8.0,home,False,3.0,0.0,1882-02-25::Wales::Northern Ireland,historical_csv,,,,
