match_date,team,player,position,is_expected_starter,lineup_confidence,fixture_id
2026-07-15,England,Jordan Pickford,GK,True,1.0,760515
2026-07-15,England,Marc Guéhi,CD-L,True,1.0,760515
2026-07-15,England,John Stones,CD-R,True,1.0,760515
2026-07-15,England,Djed Spence,LB,True,1.0,760515
2026-07-15,England,Reece James,RB,True,1.0,760515
2026-07-15,England,Jude Bellingham,AM,True,1.0,760515
2026-07-15,England,Elliot Anderson,LM,True,1.0,760515
2026-07-15,England,Declan Rice,RM,True,1.0,760515
2026-07-15,England,Harry Kane,FW,True,1.0,760515
2026-07-15,England,Anthony Gordon,AM-L,True,1.0,760515
2026-07-15,England,Morgan Rogers,AM-R,True,1.0,760515
2026-07-15,England,Jordan Henderson,SUB,False,1.0,760515
2026-07-15,England,Noni Madueke,SUB,False,1.0,760515
2026-07-15,England,Eberechi Eze,SUB,False,1.0,760515
2026-07-15,England,Ollie Watkins,SUB,False,1.0,760515
2026-07-15,England,Bukayo Saka,SUB,False,1.0,760515
2026-07-15,England,Trevoh Chalobah,SUB,False,1.0,760515
2026-07-15,England,James Trafford,SUB,False,1.0,760515
2026-07-15,England,Dan Burn,SUB,False,1.0,760515
2026-07-15,England,Dean Henderson,SUB,False,1.0,760515
2026-07-15,England,Marcus Rashford,SUB,False,1.0,760515
2026-07-15,England,Ivan Toney,SUB,False,1.0,760515
2026-07-15,England,Ezri Konsa,SUB,False,1.0,760515
2026-07-15,England,Kobbie Mainoo,SUB,False,1.0,760515
2026-07-15,England,Nico O'Reilly,SUB,False,1.0,760515
2026-07-15,Argentina,Emiliano Martínez,GK,True,1.0,760515
2026-07-15,Argentina,Lisandro Martínez,CD-L,True,1.0,760515
2026-07-15,Argentina,Cristian Romero,CD-R,True,1.0,760515
2026-07-15,Argentina,Leandro Paredes,DM,True,1.0,760515
2026-07-15,Argentina,Nicolás Tagliafico,LB,True,1.0,760515
2026-07-15,Argentina,Nahuel Molina,RB,True,1.0,760515
2026-07-15,Argentina,Alexis Mac Allister,CM-L,True,1.0,760515
2026-07-15,Argentina,Enzo Fernández,CM-R,True,1.0,760515
2026-07-15,Argentina,Julián Álvarez,LM,True,1.0,760515
2026-07-15,Argentina,Giuliano Simeone,RM,True,1.0,760515
2026-07-15,Argentina,Lionel Messi,FW,True,1.0,760515
2026-07-15,Argentina,Gonzalo Montiel,SUB,False,1.0,760515
2026-07-15,Argentina,Lautaro Martínez,SUB,False,1.0,760515
2026-07-15,Argentina,Marcos Senesi,SUB,False,1.0,760515
2026-07-15,Argentina,Facundo Medina,SUB,False,1.0,760515
2026-07-15,Argentina,Nico González,SUB,False,1.0,760515
2026-07-15,Argentina,Juan Musso,SUB,False,1.0,760515
2026-07-15,Argentina,Valentín Barco,SUB,False,1.0,760515
2026-07-15,Argentina,Gerónimo Rulli,SUB,False,1.0,760515
2026-07-15,Argentina,Giovani Lo Celso,SUB,False,1.0,760515
2026-07-15,Argentina,Nicolás Otamendi,SUB,False,1.0,760515
2026-07-15,Argentina,Nico Paz,SUB,False,1.0,760515
2026-07-15,Argentina,Thiago Almada,SUB,False,1.0,760515
2026-07-15,Argentina,Exequiel Palacios,SUB,False,1.0,760515
2026-07-15,Argentina,Rodrigo De Paul,SUB,False,1.0,760515
2026-07-15,Argentina,José Manuel López,SUB,False,1.0,760515
