group,slot,team,sportmonks_team_id,sportmonks_team_name,api_football_team_id,api_football_team_name,notes
A,1,Mexico,,,16.0,Mexico,"api_football_auto_selected(query=Mexico,score=8.00)"
A,2,South Africa,,,1531.0,South Africa,"api_football_auto_selected(query=South Africa,score=8.00)"
A,3,South Korea,,,17.0,South Korea,"api_football_auto_selected(query=South Korea,score=8.00)"
A,4,Czech Republic,,,770.0,Czechia,"api_football_auto_selected(query=Czechia,score=8.00)"
B,1,Canada,,,5529.0,Canada,"api_football_auto_selected(query=Canada,score=8.00)"
B,2,Bosnia and Herzegovina,,,1113.0,Bosnia & Herzegovina,"api_football_auto_selected(query=code:BIH,score=9.00)"
B,3,Qatar,,,1569.0,Qatar,"api_football_auto_selected(query=Qatar,score=8.00)"
B,4,Switzerland,,,15.0,Switzerland,"api_football_auto_selected(query=Switzerland,score=8.00)"
C,1,Brazil,,,6.0,Brazil,"api_football_auto_selected(query=Brazil,score=8.00)"
C,2,Morocco,,,31.0,Morocco,"api_football_auto_selected(query=Morocco,score=8.00)"
C,3,Haiti,,,2386.0,Haiti,"api_football_auto_selected(query=Haiti,score=8.00)"
C,4,Scotland,,,1108.0,Scotland,"api_football_auto_selected(query=Scotland,score=8.00)"
D,1,United States,,,2384.0,USA,"api_football_auto_selected(query=code:USA,score=9.00)"
D,2,Paraguay,,,2380.0,Paraguay,"api_football_auto_selected(query=code:PAR,score=9.00)"
D,3,Australia,,,20.0,Australia,"api_football_auto_selected(query=code:AUS,score=9.00)"
D,4,Turkey,,,777.0,Türkiye,"api_football_auto_selected(query=code:TUR,score=9.00)"
E,1,Germany,,,25.0,Germany,"api_football_auto_selected(query=code:GER,score=9.00)"
E,2,Curaçao,,,5530.0,Curaçao,"api_football_auto_selected(query=Curacao,score=8.00)"
E,3,Ivory Coast,,,1501.0,Ivory Coast,"api_football_auto_selected(query=code:CIV,score=9.00)"
E,4,Ecuador,,,2382.0,Ecuador,"api_football_auto_selected(query=code:ECU,score=9.00)"
F,1,Netherlands,,,1118.0,Netherlands,"api_football_auto_selected(query=code:NED,score=9.00)"
F,2,Japan,,,12.0,Japan,"api_football_auto_selected(query=code:JPN,score=9.00)"
F,3,Sweden,,,5.0,Sweden,"api_football_auto_selected(query=code:SWE,score=9.00)"
F,4,Tunisia,,,28.0,Tunisia,"api_football_auto_selected(query=code:TUN,score=9.00)"
G,1,Belgium,,,1.0,Belgium,"api_football_auto_selected(query=code:BEL,score=9.00)"
G,2,Egypt,,,32,Egypt,"api_football_manual_search(query=Egypt,observed=2026-06-14)"
G,3,Iran,,,,,
G,4,New Zealand,,,4673.0,New Zealand,"api_football_auto_selected(query=New Zealand,score=8.00)"
H,1,Spain,,,9.0,Spain,"api_football_auto_selected(query=Spain,score=8.00)"
H,2,Cape Verde,,,1533.0,Cape Verde Islands,"api_football_auto_selected(query=code:CPV,score=9.00)"
H,3,Saudi Arabia,,,23.0,Saudi Arabia,"api_football_auto_selected(query=Saudi Arabia,score=8.00)"
H,4,Uruguay,,,7.0,Uruguay,"api_football_auto_selected(query=Uruguay,score=8.00)"
I,1,France,,,2.0,France,"api_football_auto_selected(query=France,score=8.00)"
I,2,Senegal,,,13.0,Senegal,"api_football_auto_selected(query=Senegal,score=8.00)"
I,3,Iraq,,,1567.0,Iraq,"api_football_auto_selected(query=Iraq,score=8.00)"
I,4,Norway,,,1090.0,Norway,"api_football_auto_selected(query=code:NOR,score=9.00)"
J,1,Argentina,,,26.0,Argentina,"api_football_auto_selected(query=code:ARG,score=9.00)"
J,2,Algeria,,,1532.0,Algeria,"api_football_auto_selected(query=code:ALG,score=9.00)"
J,3,Austria,,,775.0,Austria,"api_football_auto_selected(query=code:AUT,score=9.00)"
J,4,Jordan,,,1548.0,Jordan,"api_football_auto_selected(query=Jordan,score=8.00)"
K,1,Portugal,,,,,
K,2,DR Congo,,,,,
K,3,Uzbekistan,,,,,
K,4,Colombia,,,,,
L,1,England,,,,,
L,2,Croatia,,,,,
L,3,Ghana,,,,,
L,4,Panama,,,,,
