combination_number,advancing_third_place_groups,third_for_1A,third_for_1B,third_for_1D,third_for_1E,third_for_1G,third_for_1I,third_for_1K,third_for_1L
495,ABCDEFGH,H,G,B,C,A,F,D,E
494,ABCDEFGI,C,G,B,D,A,F,E,I
493,ABCDEFGJ,C,G,B,D,A,F,E,J
492,ABCDEFGK,C,G,B,D,A,F,E,K
491,ABCDEFGL,C,G,B,D,A,F,L,E
490,ABCDEFHI,H,E,B,C,A,F,D,I
489,ABCDEFHJ,H,J,B,C,A,F,D,E
488,ABCDEFHK,H,E,B,C,A,F,D,K
487,ABCDEFHL,H,F,B,C,A,D,L,E
486,ABCDEFIJ,C,J,B,D,A,F,E,I
485,ABCDEFIK,C,E,B,D,A,F,I,K
484,ABCDEFIL,C,E,B,D,A,F,L,I
483,ABCDEFJK,C,J,B,D,A,F,E,K
482,ABCDEFJL,C,J,B,D,A,F,L,E
481,ABCDEFKL,C,E,B,D,A,F,L,K
480,ABCDEGHI,H,G,B,C,A,D,E,I
479,ABCDEGHJ,H,G,B,C,A,D,E,J
478,ABCDEGHK,H,G,B,C,A,D,E,K
477,ABCDEGHL,H,G,B,C,A,D,L,E
476,ABCDEGIJ,E,G,B,C,A,D,I,J
475,ABCDEGIK,E,G,B,C,A,D,I,K
474,ABCDEGIL,E,G,B,C,A,D,L,I
473,ABCDEGJK,E,G,B,C,A,D,J,K
472,ABCDEGJL,E,G,B,C,A,D,L,J
471,ABCDEGKL,E,G,B,C,A,D,L,K
470,ABCDEHIJ,H,J,B,C,A,D,E,I
469,ABCDEHIK,H,E,B,C,A,D,I,K
468,ABCDEHIL,H,E,B,C,A,D,L,I
467,ABCDEHJK,H,J,B,C,A,D,E,K
466,ABCDEHJL,H,J,B,C,A,D,L,E
465,ABCDEHKL,H,E,B,C,A,D,L,K
464,ABCDEIJK,E,J,B,C,A,D,I,K
463,ABCDEIJL,E,J,B,C,A,D,L,I
462,ABCDEIKL,E,I,B,C,A,D,L,K
461,ABCDEJKL,E,J,B,C,A,D,L,K
460,ABCDFGHI,H,G,B,C,A,F,D,I
459,ABCDFGHJ,H,G,B,C,A,F,D,J
458,ABCDFGHK,H,G,B,C,A,F,D,K
457,ABCDFGHL,C,G,B,D,A,F,L,H
456,ABCDFGIJ,C,G,B,D,A,F,I,J
455,ABCDFGIK,C,G,B,D,A,F,I,K
454,ABCDFGIL,C,G,B,D,A,F,L,I
453,ABCDFGJK,C,G,B,D,A,F,J,K
452,ABCDFGJL,C,G,B,D,A,F,L,J
451,ABCDFGKL,C,G,B,D,A,F,L,K
450,ABCDFHIJ,H,J,B,C,A,F,D,I
449,ABCDFHIK,H,F,B,C,A,D,I,K
448,ABCDFHIL,H,F,B,C,A,D,L,I
447,ABCDFHJK,H,J,B,C,A,F,D,K
446,ABCDFHJL,C,J,B,D,A,F,L,H
445,ABCDFHKL,H,F,B,C,A,D,L,K
444,ABCDFIJK,C,J,B,D,A,F,I,K
443,ABCDFIJL,C,J,B,D,A,F,L,I
442,ABCDFIKL,C,I,B,D,A,F,L,K
441,ABCDFJKL,C,J,B,D,A,F,L,K
440,ABCDGHIJ,H,G,B,C,A,D,I,J
439,ABCDGHIK,H,G,B,C,A,D,I,K
438,ABCDGHIL,H,G,B,C,A,D,L,I
437,ABCDGHJK,H,G,B,C,A,D,J,K
436,ABCDGHJL,H,G,B,C,A,D,L,J
435,ABCDGHKL,H,G,B,C,A,D,L,K
434,ABCDGIJK,C,J,B,D,A,G,I,K
433,ABCDGIJL,C,J,B,D,A,G,L,I
432,ABCDGIKL,I,G,B,C,A,D,L,K
431,ABCDGJKL,C,J,B,D,A,G,L,K
430,ABCDHIJK,H,J,B,C,A,D,I,K
429,ABCDHIJL,H,J,B,C,A,D,L,I
428,ABCDHIKL,H,I,B,C,A,D,L,K
427,ABCDHJKL,H,J,B,C,A,D,L,K
426,ABCDIJKL,I,J,B,C,A,D,L,K
425,ABCEFGHI,H,G,B,C,A,F,E,I
424,ABCEFGHJ,H,G,B,C,A,F,E,J
423,ABCEFGHK,H,G,B,C,A,F,E,K
422,ABCEFGHL,H,G,B,C,A,F,L,E
421,ABCEFGIJ,E,G,B,C,A,F,I,J
420,ABCEFGIK,E,G,B,C,A,F,I,K
419,ABCEFGIL,E,G,B,C,A,F,L,I
418,ABCEFGJK,E,G,B,C,A,F,J,K
417,ABCEFGJL,E,G,B,C,A,F,L,J
416,ABCEFGKL,E,G,B,C,A,F,L,K
415,ABCEFHIJ,H,J,B,C,A,F,E,I
414,ABCEFHIK,H,E,B,C,A,F,I,K
413,ABCEFHIL,H,E,B,C,A,F,L,I
412,ABCEFHJK,H,J,B,C,A,F,E,K
411,ABCEFHJL,H,J,B,C,A,F,L,E
410,ABCEFHKL,H,E,B,C,A,F,L,K
409,ABCEFIJK,E,J,B,C,A,F,I,K
408,ABCEFIJL,E,J,B,C,A,F,L,I
407,ABCEFIKL,E,I,B,C,A,F,L,K
406,ABCEFJKL,E,J,B,C,A,F,L,K
405,ABCEGHIJ,H,J,B,C,A,G,E,I
404,ABCEGHIK,E,G,B,C,A,H,I,K
403,ABCEGHIL,E,G,B,C,A,H,L,I
402,ABCEGHJK,H,J,B,C,A,G,E,K
401,ABCEGHJL,H,J,B,C,A,G,L,E
400,ABCEGHKL,E,G,B,C,A,H,L,K
399,ABCEGIJK,E,J,B,C,A,G,I,K
398,ABCEGIJL,E,J,B,C,A,G,L,I
397,ABCEGIKL,E,G,B,A,I,C,L,K
396,ABCEGJKL,E,J,B,C,A,G,L,K
395,ABCEHIJK,E,J,B,C,A,H,I,K
394,ABCEHIJL,E,J,B,C,A,H,L,I
393,ABCEHIKL,E,I,B,C,A,H,L,K
392,ABCEHJKL,E,J,B,C,A,H,L,K
391,ABCEIJKL,E,J,B,A,I,C,L,K
390,ABCFGHIJ,H,G,B,C,A,F,I,J
389,ABCFGHIK,H,G,B,C,A,F,I,K
388,ABCFGHIL,H,G,B,C,A,F,L,I
387,ABCFGHJK,H,G,B,C,A,F,J,K
386,ABCFGHJL,H,G,B,C,A,F,L,J
385,ABCFGHKL,H,G,B,C,A,F,L,K
384,ABCFGIJK,C,J,B,F,A,G,I,K
383,ABCFGIJL,C,J,B,F,A,G,L,I
382,ABCFGIKL,I,G,B,C,A,F,L,K
381,ABCFGJKL,C,J,B,F,A,G,L,K
380,ABCFHIJK,H,J,B,C,A,F,I,K
379,ABCFHIJL,H,J,B,C,A,F,L,I
378,ABCFHIKL,H,I,B,C,A,F,L,K
377,ABCFHJKL,H,J,B,C,A,F,L,K
376,ABCFIJKL,I,J,B,C,A,F,L,K
375,ABCGHIJK,H,J,B,C,A,G,I,K
374,ABCGHIJL,H,J,B,C,A,G,L,I
373,ABCGHIKL,I,G,B,C,A,H,L,K
372,ABCGHJKL,H,J,B,C,A,G,L,K
371,ABCGIJKL,I,J,B,C,A,G,L,K
370,ABCHIJKL,I,J,B,C,A,H,L,K
369,ABDEFGHI,H,G,B,D,A,F,E,I
368,ABDEFGHJ,H,G,B,D,A,F,E,J
367,ABDEFGHK,H,G,B,D,A,F,E,K
366,ABDEFGHL,H,G,B,D,A,F,L,E
365,ABDEFGIJ,E,G,B,D,A,F,I,J
364,ABDEFGIK,E,G,B,D,A,F,I,K
363,ABDEFGIL,E,G,B,D,A,F,L,I
362,ABDEFGJK,E,G,B,D,A,F,J,K
361,ABDEFGJL,E,G,B,D,A,F,L,J
360,ABDEFGKL,E,G,B,D,A,F,L,K
359,ABDEFHIJ,H,J,B,D,A,F,E,I
