team,elo_rating,last_match_date,matches_played
Argentina,2070.7473504381182,2026-06-17,216
Spain,2066.008972352266,2026-06-15,213
France,2041.0092095333519,2026-06-16,214
England,2009.978732506032,2026-06-17,202
Morocco,1982.1516298690308,2026-06-19,196
Mexico,1961.1480148943656,2026-06-19,286
Colombia,1956.4871846013832,2026-06-18,187
Japan,1954.6534619547897,2026-06-14,230
Brazil,1946.7063690929951,2026-06-20,214
Germany,1929.124054289472,2026-06-20,215
Netherlands,1920.761461108141,2026-06-20,200
United States,1912.0217483726233,2026-06-19,258
Portugal,1894.5561421347281,2026-06-17,207
Norway,1877.135887729739,2026-06-16,165
Nigeria,1873.4357153162655,2026-06-10,209
Australia,1867.082317426682,2026-06-19,190
Iran,1861.67706253919,2026-06-16,192
Canada,1850.0146532485983,2026-06-18,168
Senegal,1849.9754714917613,2026-06-16,194
Uruguay,1842.5321077414808,2026-06-15,197
South Korea,1842.2122838533244,2026-06-19,234
Ecuador,1841.5592725927036,2026-06-21,179
Switzerland,1824.1268996102465,2026-06-18,187
Croatia,1824.000622254355,2026-06-17,194
Belgium,1821.9367183292802,2026-06-15,190
Ivory Coast,1816.3847527960595,2026-06-20,199
Algeria,1814.6543900029199,2026-06-17,203
Egypt,1799.8360480701156,2026-06-15,205
Austria,1792.4669500715597,2026-06-17,165
Denmark,1788.4284731247174,2026-06-07,182
Panama,1787.705363201058,2026-06-17,235
Uzbekistan,1785.9245668986864,2026-06-18,188
Italy,1783.016738957839,2026-06-07,201
New Zealand,1771.1002035324066,2026-06-16,117
Paraguay,1767.9497558248383,2026-06-20,177
DR Congo,1760.1080693727704,2026-06-17,178
Turkey,1756.951287804864,2026-06-20,185
Costa Rica,1754.0673198850488,2026-06-10,233
Scotland,1739.2274916808562,2026-06-19,159
Jersey,1738.0955325455477,2025-07-18,43
Jordan,1737.0803333251954,2026-06-17,241
Russia,1729.4522677278408,2026-06-09,162
Saudi Arabia,1713.9697549110942,2026-06-15,231
Honduras,1711.6807201089975,2026-06-07,211
Venezuela,1711.370564781417,2026-06-10,174
Isle of Man,1702.537919237358,2025-07-18,27
Iraq,1699.9445396402418,2026-06-16,238
Cameroon,1695.9414278570503,2026-03-31,193
Mali,1691.2934715464626,2026-06-04,157
Ukraine,1685.5360439152853,2026-06-07,174
Serbia,1680.8062122002336,2026-06-05,177
United Arab Emirates,1677.6162824049306,2025-12-15,205
Sweden,1670.9834787542923,2026-06-20,202
Greece,1668.5341061239033,2026-06-07,171
Jamaica,1666.2994699630922,2026-06-06,202
Guernsey,1663.3913505071368,2023-07-13,40
Guatemala,1655.4161065180451,2026-06-07,164
Haiti,1653.600059802968,2026-06-20,135
Curaçao,1650.0254880713119,2026-06-21,121
Czech Republic,1649.1297586495934,2026-06-18,179
Chile,1648.3017160584895,2026-06-09,203
Ghana,1646.1705242803096,2026-06-17,196
Peru,1644.2495366723524,2026-06-09,191
Poland,1644.1893334760432,2026-06-03,189
Syria,1642.257885000212,2026-06-05,173
Tunisia,1640.0098651062997,2026-06-15,208
Burkina Faso,1639.9142767254484,2026-06-09,183
Cape Verde,1639.6726208611192,2026-06-15,131
Wales,1638.9363038191275,2026-06-06,155
Northern Cyprus,1636.9927157719744,2018-06-09,19
Hungary,1634.6463516966796,2026-06-09,166
South Africa,1634.25723749811,2026-06-18,223
Kosovo,1632.6610364260548,2026-06-07,103
Bolivia,1629.4650676581903,2026-06-11,160
Republic of Ireland,1625.317230954979,2026-06-05,177
Isle of Wight,1622.721546975908,2023-07-13,13
Padania,1616.2788435528698,2019-06-08,29
Occitania,1610.9485618885135,2014-12-30,13
Palestine,1610.5445189765092,2026-06-09,156
Ynys Môn,1610.39207236538,2025-07-17,23
Oman,1610.1797489590565,2026-06-05,226
Suriname,1608.4930539065958,2026-03-26,99
Iraqi Kurdistan,1603.4718985705226,2016-06-04,15
Slovenia,1598.5689492965525,2026-06-07,158
Abkhazia,1596.240741837496,2019-06-06,26
Slovakia,1595.8995670152653,2026-06-05,173
Qatar,1590.5201775710746,2026-06-18,253
Thailand,1590.4597018336765,2026-06-09,194
New Caledonia,1590.309194379038,2026-03-26,79
Kárpátalja,1586.6902082319887,2018-06-09,10
Romania,1578.26989057836,2026-06-06,169
Georgia,1574.2359641334165,2026-06-05,156
Guinea,1572.5378480711563,2026-06-04,143
Angola,1570.7948962907049,2026-06-09,163
Guadeloupe,1569.007959423709,2025-06-24,82
Artsakh,1564.9684618715273,2019-06-08,8
Bahrain,1564.583501900558,2026-06-05,227
Réunion,1560.7587669212342,2023-09-02,25
China,1559.9094256730739,2026-06-09,183
Albania,1559.6488620893654,2026-06-06,162
Zanzibar,1555.3977984138683,2025-01-13,33
Trinidad and Tobago,1553.642374744778,2026-06-09,177
Guyana,1552.160700323193,2026-03-30,107
Basque Country,1550.5174836708711,2025-11-15,11
Israel,1550.171349856803,2026-06-03,135
Benin,1545.2486171796704,2026-06-09,118
Tahiti,1543.1733945103997,2025-03-21,63
Nicaragua,1537.742492682029,2026-06-05,118
Zambia,1537.3303497499696,2026-03-31,209
Vietnam,1537.1503454906558,2026-03-26,154
North Macedonia,1535.1646101376662,2026-06-01,160
Gambia,1533.9948500542005,2026-05-29,101
Malaysia,1532.2937559027544,2025-11-18,182
Dominican Republic,1531.4882254232566,2026-06-04,96
Greenland,1527.9815688626413,2024-06-01,20
Panjab,1527.581307101288,2019-12-29,15
Bosnia and Herzegovina,1523.0664120767585,2026-06-18,160
Niger,1522.6050516797297,2026-06-08,133
Gabon,1519.1393655614036,2026-03-30,146
Northern Ireland,1518.589803424345,2026-06-08,151
Uganda,1516.2223640276409,2025-12-30,197
El Salvador,1516.0675927366806,2026-06-06,182
Indonesia,1515.9710144748556,2026-06-09,169
Mozambique,1515.6702920121927,2026-06-09,156
Tajikistan,1515.5120261727773,2026-06-09,128
North Korea,1514.9960824722982,2025-06-10,132
Ellan Vannin,1514.8348220814826,2018-06-03,14
Provence,1512.2712102305247,2013-06-24,7
Western Armenia,1512.1074627703495,2019-06-09,14
Libya,1510.385622065156,2026-03-31,133
Menorca,1506.4509801603767,2023-07-13,16
Lebanon,1505.2092060913776,2025-11-26,158
Shetland,1502.4695893468697,2025-07-17,19
Mayotte,1501.2928896599167,2023-08-26,24
Felvidék,1499.0580460770796,2017-06-09,10
Kyrgyzstan,1497.675897116891,2026-06-09,113
Tamil Eelam,1495.3564464287294,2025-07-01,18
Iceland,1491.5657555627329,2026-06-10,187
Kuwait,1489.7550241205,2026-06-05,197
Martinique,1488.300575488355,2026-03-29,95
