tournament_year,team,real_xi_club_elo_rating,real_xi_starter_sample
2018,Argentina,1784.684872274737,38
2018,Australia,1520.5325097664,25
2018,Belgium,1860.3814212572058,68
2018,Brazil,1894.034152892195,41
2018,Colombia,1792.6648895275,40
2018,Costa Rica,1566.830773928,20
2018,Croatia,1778.0874408931577,76
2018,Denmark,1700.8148110122727,44
2018,Egypt,1752.6112426755,20
2018,England,1844.1952427471429,77
2018,France,1912.9010437812985,77
2018,Germany,1883.5404800906451,31
2018,Iceland,1442.6396743315152,33
2018,Iran,1553.8102068221428,14
2018,Japan,1663.6268347539394,33
2018,Mexico,1665.094729470238,42
2018,Morocco,1645.4695021112905,31
2018,Nigeria,1601.9637360755555,27
2018,Panama,1532.1583116322222,9
2018,Peru,1568.733694894286,7
2018,Poland,1652.6545199675863,29
2018,Portugal,1735.3056708447223,36
2018,Russia,1707.3317016613332,30
2018,Saudi Arabia,1717.9963378916666,6
2018,Senegal,1664.2819750236363,33
2018,Serbia,1606.4805279354546,33
2018,South Korea,1629.4951416013332,15
2018,Spain,1991.6191134986111,36
2018,Sweden,1620.469001614082,49
2018,Switzerland,1689.9182843478047,41
2018,Tunisia,1520.4504743314287,21
2018,Uruguay,1877.5364724873912,46
2022,Argentina,1840.4374793903896,77
2022,Australia,1465.000471634091,22
2022,Belgium,1800.0917672824244,33
2022,Brazil,1887.5304260245,40
2022,Cameroon,1687.3010711658335,24
2022,Canada,1664.441179546667,21
2022,Costa Rica,1713.1038536676922,13
2022,Croatia,1794.1144892712987,77
2022,Denmark,1779.4927016736365,33
2022,Ecuador,1698.815965732174,23
2022,England,1858.3933016670908,55
2022,France,1895.8651836441559,77
2022,Germany,1956.810358221212,33
2022,Ghana,1664.9510091145455,33
2022,Iran,1576.2013105918181,22
2022,Japan,1679.9623697916666,30
2022,Mexico,1710.199841952105,19
2022,Morocco,1690.347403861081,74
2022,Netherlands,1847.2010609018182,55
2022,Poland,1687.4327736884613,39
2022,Portugal,1823.9973657216,50
2022,Senegal,1664.3172108043182,44
2022,Serbia,1673.8885313096969,33
2022,South Korea,1799.6318790191176,34
2022,Spain,1890.865390355278,36
2022,Switzerland,1732.2345655487804,41
2022,Tunisia,1352.7865629638095,21
2022,United States,1742.6105743405,40
2022,Uruguay,1881.308598632,25
2022,Wales,1679.794714356,30
