tournament_year,team,real_xi_tm_rating,sample
2018,Argentina,4.0555760480118765,44
2018,Australia,2.414588229952249,33
2018,Belgium,4.244652154454595,77
2018,Brazil,4.7274485992461,55
2018,Colombia,3.5046632337621157,44
2018,Costa Rica,1.6181288327589183,29
2018,Croatia,3.9323825948222537,77
2018,Denmark,3.3261497728171237,44
2018,Egypt,2.5311328843224676,33
2018,England,4.756176534702602,77
2018,France,4.957491811679186,77
2018,Germany,4.58749070272974,33
2018,Iceland,1.840694386796596,33
2018,Iran,1.672900803902533,32
2018,Japan,2.0943314411850675,43
2018,Mexico,3.0996866273914563,44
2018,Morocco,2.8972937994212176,33
2018,Nigeria,2.395201162027239,33
2018,Panama,2.084813432035922,33
2018,Peru,1.5755716541849574,32
2018,Poland,3.158982514312056,33
2018,Portugal,4.104514112862112,44
2018,Russia,2.7525167380721554,55
2018,Saudi Arabia,0.8643804063811235,31
2018,Senegal,3.464325229492703,33
2018,Serbia,3.4520116107411893,33
2018,South Korea,2.482378490566436,33
2018,Spain,4.755663223080418,44
2018,Sweden,2.593473454493572,55
2018,Switzerland,2.8044410565217284,44
2018,Tunisia,1.832881002049194,32
2018,Uruguay,4.097945522657367,55
2022,Argentina,4.621529181313125,77
2022,Australia,2.163760272036516,44
2022,Belgium,3.9527543499895685,33
2022,Brazil,4.730388418446903,55
2022,Cameroon,2.905290724971793,30
2022,Canada,2.9747880299934373,33
2022,Costa Rica,1.7325362600591692,28
2022,Croatia,4.140184477163498,77
2022,Denmark,4.186909376938324,33
2022,Ecuador,3.5891045464889846,31
2022,England,5.240885866362149,55
2022,France,4.980980303434363,77
2022,Germany,4.979090809830443,33
2022,Ghana,3.5094407678392936,33
2022,Iran,1.736275357494116,31
2022,Japan,2.577718170463788,44
2022,Mexico,3.11067895724368,33
2022,Morocco,3.754181973159694,77
2022,Netherlands,4.363837059472095,55
2022,Poland,3.903895212402142,44
2022,Portugal,4.893113996409971,55
2022,Qatar,1.7397012053882661,26
2022,Saudi Arabia,1.2503551035309617,30
2022,Senegal,3.770409274947078,44
2022,Serbia,4.1197020896610415,33
2022,South Korea,3.960080864072504,44
2022,Spain,4.489935466330603,44
2022,Switzerland,3.529815202265657,44
2022,Tunisia,1.7348740398846871,33
2022,United States,3.8368402763061216,41
2022,Uruguay,4.137181413715804,33
2022,Wales,3.18495774815929,33
