team,squad_player_count,mapped_player_count,mapped_player_share,squad_player_elo_rating,squad_player_elo_core_rating,squad_player_elo_star_rating,squad_player_elo_all_rating,mapped_only_squad_player_elo_rating,mapped_only_squad_player_elo_core_rating,mean_caps,median_caps,mean_age,expected_xi_player_elo_rating,expected_xi_mapped_only_player_elo_rating,expected_xi_selection_score,expected_xi_mapped_player_share,expected_xi_mean_caps,expected_xi_mean_age,expected_xi_formation,expected_xi_goalkeeper_player_elo_rating,expected_xi_defense_player_elo_rating,expected_xi_midfield_player_elo_rating,expected_xi_attack_player_elo_rating,group
Spain,26,25,0.9615384615384616,2141.4866666666667,2185.809090909091,2311.4,2035.62,2141.4866666666667,2185.809090909091,28.576923076923077,24.5,26.192307692307693,2175.772727272727,2175.772727272727,2208.26081599653,1.0,32.72727272727273,25.545454545454547,3-5-2,2315.5,2093.0333333333333,2196.16,2179.05,H
England,26,26,1.0,2132.98,2164.7090909090907,2217.4999999999995,2054.5692307692307,2132.9800000000005,2164.709090909091,32.38461538461539,18.0,26.615384615384617,2153.163636363636,2153.163636363636,2186.6665121136903,1.0,42.81818181818182,26.545454545454547,3-4-3,2021.0,2123.0666666666666,2166.2249999999995,2209.9,L
France,26,26,1.0,2126.5533333333333,2152.609090909091,2238.9,2025.2692307692305,2126.5533333333333,2152.609090909091,30.884615384615383,30.0,26.576923076923077,2139.918181818182,2139.918181818182,2170.7234211520645,1.0,36.36363636363637,26.363636363636363,5-3-2,1969.9,2205.3399999999997,2092.733333333333,2132.15,I
Portugal,26,25,0.9615384615384616,2122.826666666667,2154.781818181818,2268.4333333333334,2006.6840000000002,2122.826666666667,2154.7818181818184,44.61538461538461,34.5,27.53846153846154,2144.6181818181817,2144.6181818181817,2179.7667708426943,1.0,51.09090909090909,27.0,3-5-2,2277.4,2109.2999999999997,2181.18,2039.8000000000002,K
Germany,26,26,1.0,2037.0133333333333,2063.190909090909,2131.7,1947.880769230769,2037.013333333333,2063.190909090909,32.46153846153846,13.0,27.615384615384617,2055.818181818182,2055.818181818182,2086.968083888381,1.0,52.18181818181818,28.545454545454547,4-4-2,2032.5,2089.0249999999996,2061.9,1988.9,E
Netherlands,26,26,1.0,2029.5933333333335,2053.9454545454546,2120.5,1947.3269230769233,2029.593333333333,2053.945454545454,33.11538461538461,24.0,27.307692307692307,2052.7636363636366,2052.7636363636366,2085.8863017900485,1.0,38.36363636363637,27.09090909090909,4-4-2,2144.3,2050.725,2059.4,1997.8,F
Brazil,26,24,0.9230769230769231,2005.2,2057.0363636363636,2206.566666666667,1857.1499999999999,2005.2,2057.0363636363636,35.23076923076923,23.0,28.807692307692307,2035.9636363636362,2035.9636363636362,2066.15779334676,1.0,38.0,29.90909090909091,4-3-3,1808.5,2041.625,1977.7666666666667,2162.4333333333334,C
Argentina,26,26,1.0,2003.9399999999998,2042.4272727272728,2109.566666666666,1917.3923076923081,2003.9399999999998,2042.4272727272726,48.11538461538461,44.0,28.692307692307693,2037.8363636363638,2037.8363636363638,2070.451657549316,1.0,39.27272727272727,26.90909090909091,4-3-3,2144.6,2047.65,1995.4666666666665,2031.5333333333335,J
Belgium,26,26,1.0,1990.1533333333332,2027.809090909091,2158.8,1894.1384615384616,1990.1533333333332,2027.809090909091,41.73076923076923,29.5,27.115384615384617,2021.3272727272729,2021.3272727272729,2056.4552261050044,1.0,59.09090909090909,29.272727272727273,3-4-3,2111.7,1939.9333333333332,2037.5000000000002,2051.0333333333333,G
Norway,26,26,1.0,1974.6,2023.8545454545456,2176.4333333333334,1838.203846153846,1974.6000000000001,2023.8545454545456,30.807692307692307,26.0,26.346153846153847,2003.3636363636363,2003.3636363636363,2038.6997480780126,1.0,47.54545454545455,27.818181818181817,3-4-3,1860.8,1922.0,2024.975,2103.4333333333334,I
