team,squad_player_count,mapped_player_count,mapped_player_share,squad_club_elo_rating,squad_club_elo_core_rating,squad_club_elo_star_rating,squad_club_elo_all_rating,mapped_only_squad_club_elo_rating,mapped_only_squad_club_elo_core_rating,mean_caps,median_caps,mean_age,expected_xi_club_elo_rating,expected_xi_mapped_only_club_elo_rating,expected_xi_selection_score,expected_xi_mapped_player_share,expected_xi_mean_caps,expected_xi_mean_age,expected_xi_formation,expected_xi_goalkeeper_club_elo_rating,expected_xi_defense_club_elo_rating,expected_xi_midfield_club_elo_rating,expected_xi_attack_club_elo_rating,group
England,26,25,0.9615384615384616,1979.4697021493334,2001.2562588800001,2063.75805664,1915.323769532,1979.4697021493332,2001.25625888,32.38461538461539,18.0,26.615384615384617,1998.4727561272725,1998.4727561272725,2029.9594099915842,1.0,41.54545454545455,25.90909090909091,4-3-3,1970.85388184,1958.38296509,2016.8094075533336,2042.7954508466667,L
Spain,26,26,1.0,1972.569392906,1985.4126531445456,2063.75805664,1876.227689305,1972.5693929059998,1985.4126531445456,28.576923076923077,24.5,26.192307692307693,1982.8056862590909,1982.8056862590909,2015.8305179423269,1.0,35.54545454545455,27.0,3-5-2,2063.75805664,1942.0298665399998,2003.56748047,1951.58874512,H
France,26,25,0.9615384615384616,1959.5686848973335,1977.2951438227274,2021.8328450533334,1879.2822753916003,1959.5686848973335,1977.2951438227274,30.884615384615383,30.0,26.576923076923077,1957.4918212909092,1957.4918212909092,1988.0990929334037,1.0,32.72727272727273,25.727272727272727,4-3-3,1750.04211426,1996.0239257825,1953.8815511100001,1978.8758544933335,I
Germany,26,26,1.0,1928.2713134786668,1962.0211292636363,2021.8328450533334,1848.3966721773072,1928.2713134786666,1962.0211292636363,32.46153846153846,13.0,27.615384615384617,1962.0211292636363,1962.0211292636363,1995.233361107389,1.0,55.81818181818182,28.90909090909091,3-5-2,2000.87023926,1974.8841959666668,1951.08405762,1950.64465332,E
Portugal,26,23,0.8846153846153846,1917.6461263026665,1946.7476917627273,1970.85388184,1847.8161461878262,1917.6461263026665,1946.7476917627273,44.61538461538461,34.5,27.53846153846154,1940.6214599618181,1940.6214599618181,1972.9827860283192,1.0,46.54545454545455,27.454545454545453,3-5-2,1847.92749023,1963.44042969,1958.556225588,1907.90307617,K
Argentina,26,23,0.8846153846153846,1898.4631510433333,1914.705688479091,1922.9121093799997,1845.2760699739126,1898.4631510433335,1914.7056884790911,48.11538461538461,44.0,28.692307692307693,1904.847445403636,1904.847445403636,1937.8228688551442,1.0,41.27272727272727,27.636363636363637,3-4-3,1920.97021484,1903.399414063333,1888.3542785675,1922.9121093799997,J
Brazil,26,17,0.6538461538461539,1878.8005859386665,1932.4925870036363,2031.7982584633335,1852.633236157059,1878.800585938667,1932.4925870036363,35.23076923076923,23.0,28.807692307692307,1897.3267933254544,1916.9316772480001,1930.3235418177844,0.9090909090909091,46.72727272727273,28.727272727272727,3-4-3,1910.79907227,1934.6310221366666,1804.4109191900002,1979.4196370466668,C
Netherlands,26,25,0.9615384615384616,1874.5458170593333,1901.1179643136363,1964.4321696,1814.7492236336,1874.5458170593333,1901.1179643136363,33.11538461538461,24.0,27.307692307692307,1896.7034468236366,1896.7034468236366,1930.865380157062,1.0,46.09090909090909,27.727272727272727,4-4-2,1842.01049805,1903.06643677,1926.302948,1852.124938965,F
Belgium,26,26,1.0,1858.6873535153331,1892.8744340372725,1985.8413492866669,1792.5850407523078,1858.6873535153334,1892.874434037273,41.73076923076923,29.5,27.115384615384617,1878.5219393636364,1878.5219393636364,1913.5117583737347,1.0,55.27272727272727,28.545454545454547,3-4-3,1922.91210938,1834.3445638,1844.9187316875,1952.7068684900003,G
Norway,26,26,1.0,1819.7183268213334,1860.7109042072727,1985.8413492866669,1720.9900794384616,1819.718326821333,1860.7109042072727,30.807692307692307,26.0,26.346153846153847,1829.5536221581817,1829.5536221581817,1864.0225319685087,1.0,44.72727272727273,27.90909090909091,3-4-3,1625.92346191,1748.9202067033332,1880.967773435,1909.511555993333,I
Senegal,26,23,0.8846153846153846,1811.9652180986666,1843.3539928081818,1989.8730468766669,1728.8591945482606,1811.9652180986664,1843.3539928081816,37.88461538461539,30.0,26.615384615384617,1831.484563653636,1844.505224609,1860.4469821341647,0.9090909090909091,41.45454545454545,25.363636363636363,3-4-3,1701.2779541,1777.1744791666667,1835.2388000475,1924.1912028,I
Sweden,26,21,0.8076923076923077,1787.8019368493333,1836.9336159454544,1965.17578125,1702.8961530419044,1787.8019368493335,1836.9336159454544,19.96153846153846,13.0,27.0,1817.1404696390912,1828.726721193,1847.7871243011737,0.9090909090909091,30.0,26.181818181818183,4-3-3,1539.21337891,1829.161499025,1773.5324707033333,1937.3627929699999,F
Morocco,26,20,0.7692307692307693,1787.3826985673334,1817.2201926481816,1935.3689371766668,1735.8823059074998,1787.3826985673336,1817.220192648182,27.0,12.5,26.115384615384617,1808.1031272190912,1831.8420545788888,1839.5462896846254,0.8181818181818182,42.09090909090909,27.0,4-4-2,1701.2779541,1875.028778075,1765.8878173825,1812.09503174,C
Croatia,26,23,0.8846153846153846,1779.1291666666666,1817.3135542445455,1980.8593343133334,1707.6249097734785,1779.1291666666668,1817.3135542445455,44.61538461538461,20.5,27.884615384615383,1813.9018221772728,1825.1642089850004,1848.3294184322374,0.9090909090909091,72.54545454545455,29.363636363636363,3-5-2,1701.2779541,1886.3693847666666,1826.609082032,1729.744262695,L
Turkey,26,25,0.9615384615384616,1772.0826904293333,1804.0143044218182,1908.9434814466665,1699.1974414063998,1772.0826904293333,1804.0143044218182,37.30769230769231,31.0,27.23076923076923,1805.5604137081818,1815.988659669,1837.7917034563638,0.9090909090909091,42.54545454545455,26.454545454545453,4-3-3,1915.31604004,1759.2732543949999,1802.54724121,1833.7045898466667,D
